name,api
Foam,"['Exception', 'Next', 'parse', 'w', 'Char', 'Loader', 'register', 'read', 'flush', 'Cache', 'close', 'format', 'Empty', 'Activity', 'Manager', 'String', 'Input', 'is', 'file', '<init>', 'Package', 'Trace', 'File', 'starts', 'Application', 'Methods', 'send', 'Uncaught', 'Value', 'Assignable', 'Set', 'Present', 'System', 'uncaught', 'Content', 'Temp', 'open', 'Simple', 'value', 'exists', 'length', 'set', 'values', 'Stack', 'Line', 'char', 'Connected', 'From', 'Resolver', 'for', 'create', 'split', 'Property', 'Output', 'to', 'Stream', 'has', 'Class', 'Runtime', 'Key', 'on', 'Int', 'Dir', 'List', 'Of', 'add', 'By', 'sleep', 'Annotation', 'current', 'Millis', 'iterator', 'append', 'At', 'Handler', 'Info', 'next', 'delete', 'get', 'Service', 'equals', 'Message', 'UUID', 'Length', 'Ignore', 'name', 'Case', 'exec', 'contains', 'write', 'encode', 'entry', 'Time', 'Lifecycle', 'start', 'Network', 'Callbacks', 'Create', 'Whitespace', 'To', 'With', 'Bytes', 'Name', 'unregister', 'Default', 'put']"
Android Wave Recorder,"['State', 'order', 'Channel', 'Value', 'read', 'start', 'close', 'Recording', 'release', 'append', 'as', 'String', 'size', 'get', 'short', 'Short', '<init>', 'Size', 'to', 'Buffer', 'wrap', 'Min', 'stop', 'seek', 'write']"
AudioView,"['Max', 'Change', 'Source', 'Current', 'Position', 'Completion', 'post', 'Tag', 'send', 'Selected', 'prepare', 'Value', 'Metadata', 'start', 'value', 'Of', 'format', 'Empty', 'set', 'To', 'Stack', 'On', 'Method', 'release', 'Id', 'append', 'From', 'String', 'Playing', 'extract', 'Bar', 'size', 'Progress', 'interrupt', 'Resource', 'get', 'Window', 'Listener', 'is', '<init>', 'Text', 'Message', 'Movement', 'Click', 'to', 'Delayed', 'Class', 'Interrupted', 'Trace', 'print', 'Prepared', 'Detached', 'reset', 'stop', 'boolean', 'Data', 'Image', 'on', 'pause', 'seek', 'Duration', 'Seek']"
RecordDialog,"['Source', 'Completion', 'Title', 'External', 'prepare', 'find', 'Thread', 'start', 'hash', 'Code', 'Path', 'By', 'X', 'Create', 'format', 'purge', 'Soft', 'Mode', 'set', 'Ui', 'Stack', 'On', 'from', 'release', 'Id', 'Storage', 'append', 'Directory', 'At', 'String', 'Positive', 'Input', 'schedule', 'cancel', 'create', 'Pause', 'Resource', 'get', 'Window', 'Rate', 'Absolute', 'Listener', 'equals', '<init>', 'Text', 'Click', 'to', 'scale', 'inflate', 'Fixed', 'Button', 'Interpolator', 'run', 'put', 'Trace', 'Y', 'animate', 'print', 'stop', 'Image', 'reset', 'Data', 'View', 'on', 'pause', 'load']"
DMAudioStreamer,"['Intent', 'Next', 'println', 'Context', 'Async', 'register', 'read', 'Event', 'Code', 'Audio', 'Looper', 'Empty', 'remove', 'Executor', 'String', 'Playing', 'Loggable', 'Shutdown', 'edit', 'Resource', 'Flags', 'Listener', 'is', '<init>', 'listen', 'Package', 'new', 'Error', 'Focus', 'Trace', 'print', 'stop', 'reset', 'Current', 'Application', 'apply', 'Source', 'post', 'abandon', 'Thread', 'Visibility', 'System', 'Content', 'substring', 'value', 'Simple', 'length', 'set', 'Stack', 'On', 'release', 'All', 'schedule', 'Volume', 'size', 'create', 'Type', 'Media', 'Pending', 'Rate', 'Lock', 'to', 'Stream', 'has', 'Extras', 'Remote', 'Control', 'Button', 'Key', 'Data', 'View', 'on', 'Int', 'Destroy', 'Icon', 'Action', 'Completion', 'Position', 'Held', 'prepare', 'replace', 'Client', 'Extra', 'Of', 'add', 'request', 'acquire', 'Bitmap', 'clear', 'current', 'Call', 'Main', 'iterator', 'append', 'At', 'next', 'cancel', 'get', 'Service', 'equals', 'Text', 'Message', 'Fixed', 'Ignore', 'Case', 'Prepared', 'contains', 'pause', 'Wake', 'Click', 'seek', 'write', 'Single', 'State', 'Title', 'Metadata', 'e', 'start', 'Broadcast', 'Create', 'Mode', 'To', 'build', 'Component', 'Small', 'Changed', 'Name', 'Complete', 'unregister', 'index', 'put', 'Transport', 'Scheduled', 'key', 'Image', 'Wifi', 'Receiver', 'Delayed', 'Seek']"
Audio Recorder Button,"['Margins', 'Height', 'Source', 'Action', 'Time', 'write', 'prepare', 'Value', 'read', 'Visibility', 'Drawable', 'Params', 'start', 'Cache', 'Filter', 'value', 'Width', 'add', 'request', 'Realtime', 'Of', 'X', 'Audio', 'current', 'Millis', 'Float', 'set', 'Stack', 'Alpha', 'release', 'Id', 'Raw', 'Update', 'append', 'Int', 'String', 'enable', 'elapsed', 'Transition', 'Color', 'Format', 'Encoder', 'Type', 'Animated', 'get', 'Layout', 'Background', 'Listener', 'Long', 'Output', '<init>', 'Text', 'to', 'Dir', 'Interpolator', 'float', 'Trace', 'print', 'of', 'Base', 'stop', 'Image', 'boolean', 'Data', 'View', 'File', 'Rule', 'Duration']"
Noise FFT,"['Of', 'value', 'int', 'Library', 'long', 'Value', '<init>', 'load']"
VokaturiAndroid,"['Record', 'State', 'Max', 'Amplitude', 'Source', 'Position', 'write', 'prepare', 'Value', 'e', 'read', 'Self', 'replace', 'start', 'Cache', 'Calling', 'close', 'Temp', 'substring', 'value', 'Of', 'Path', 'double', 'Audio', 'Empty', 'Permission', 'set', 'last', 'Stack', 'Recording', 'Notification', 'release', 'append', 'Update', 'Int', 'String', 'Index', 'Encoder', 'Format', 'check', 'create', 'delete', 'Bytes', 'get', 'Absolute', 'Listener', 'is', 'Short', 'Output', '<init>', 'Size', 'Message', 'Period', 'to', 'Scale', 'arraycopy', 'd', 'Or', 'Length', 'Buffer', 'put', 'Trace', 'Library', 'reverse', 'Min', 'boolean', 'stop', 'File', 'load', 'seek', 'Dir']"
Android Playlist File Parser,"['matcher', 'w', 'Value', 'read', 'e', 'Simple', 'value', 'Of', 'add', 'compile', 'matches', 'Line', 'append', 'String', 'int', 'size', 'Bytes', 'get', 'Name', 'long', '<init>', 'to', 'group', 'trim']"
TrackSearcher,"['Object', 'Next', 'Parameter', 'Path', 'add', 'Array', 'scheme', 'Query', 'length', 'build', 'Stack', 'iterator', 'append', 'String', 'next', 'get', 'Execute', 'Upon', '<init>', 'Post', 'to', 'has', 'JSON', 'Trace', 'print', 'authority', 'contains', 'on', 'Int']"
RecordWave,"['Object', 'red', 'Context', 'External', 'Async', 'Draw', 'read', 'flush', 'recycle', 'Sample', 'Recycled', 'close', 'Audio', 'Empty', 'remove', 'queue', 'from', 'And', 'String', 'Playing', 'play', 'Input', 'Layout', 'lock', 'Listener', 'is', '<init>', 'Resources', 'Period', 'Priority', 'd', 'Error', 'Decoder', 'Trace', 'Library', 'print', 'stop', 'reset', 'File', 'Current', 'Record', 'starts', 'select', 'Application', 'Source', 'post', 'send', 'Buffering', 'Value', 'Thread', 'Visibility', 'System', 'obtain', 'value', 'dequeue', 'Array', 'exists', 'synchronized', 'set', 'Recording', 'Stack', 'On', 'release', 'Line', 'Update', 'From', 'schedule', 'size', 'create', 'Type', 'Track', 'Byte', 'Rate', 'short', 'draw', 'Long', 'Output', 'to', 'Stream', 'blue', 'Data', 'Display', 'on', 'Integer', 'Int', 'Completion', 'List', 'Position', 'sqrt', 'prepare', 'Of', 'add', 'By', 'sleep', 'Bitmap', 'clear', 'Pre', 'Notification', 'append', 'Storage', 'Directory', 'At', 'cancel', 'delete', 'Attributes', 'get', 'configure', 'Absolute', 'Service', 'equals', 'Size', 'Message', 'Fixed', 'list', 'Buffers', 'Prepared', 'Detached', 'boolean', 'Measure', 'pause', 'seek', 'write', 'State', 'Time', 'i', 'e', 'quit', 'Styled', 'start', 'green', 'Metrics', 'Path', 'Mode', 'To', 'Canvas', 'unlock', 'Color', 'Format', 'advance', 'With', 'Changed', 'Window', 'argb', 'Post', 'Buffer', 'Min', 'Delayed', 'load', 'Duration']"
HybridMediaPlayer,"['Source', 'parse', 'Position', 'prepare', 'Async', 'start', 'value', 'Of', 'To', 'set', 'Stack', 'release', 'Playing', 'get', 'is', 'Duration', '<init>', 'Trace', 'print', 'Data', 'pause', 'seek', 'Current']"
JcPlayer,"['Next', 'Intent', 'parse', 'Change', 'Context', 'Loader', 'Channel', 'Async', 'read', 'close', 'Code', 'Boolean', 'Empty', 'remove', 'Activity', 'from', 'String', 'Resource', 'Flags', 'Listener', 'is', '<init>', 'Resources', 'Package', 'Priority', 'd', 'Error', 'Trace', 'print', 'stop', 'reset', 'unbind', 'Current', 'File', 'Application', 'Max', 'Source', 'post', 'Cancel', 'Buffering', 'Value', 'Visibility', 'System', 'hash', 'Content', 'obtain', 'value', 'open', 'Auto', 'exists', 'set', 'Stack', 'On', 'release', 'Raw', 'Update', 'All', 'int', 'Bar', 'Pending', 'size', 'create', 'Descriptor', 'to', 'has', 'Class', 'Data', 'View', 'Int', 'Icon', 'Theme', 'Offset', 'Fd', 'Completion', 'Position', 'prepare', 'notify', 'Drawable', 'Of', 'Extra', 'add', 'By', 'sleep', 'clear', 'Millis', 'Notification', 'Large', 'iterator', 'append', 'Id', 'next', 'cancel', 'Attributes', 'get', 'Service', 'equals', 'Text', 'inflate', 'Length', 'Prepared', 'contains', 'pause', 'Click', 'seek', 'write', 'bind', 'Start', 'find', 'Styled', 'start', 'Filter', 'Broadcast', 'decode', 'To', 'build', 'Color', 'Small', 'Assets', 'Progress', 'Indeterminate', 'Name', 'Thumb', 'put', 'Image', 'Duration', 'Seek']"
Audiogram,"['abs', 'Single', 'Height', 'Action', 'post', 'max', 'Draw', 'Value', 'Alias', 'recycle', 'Anti', 'Thread', 'Styled', 'Recycled', 'start', 'Fraction', 'Pixel', 'Event', 'obtain', 'value', 'Of', 'add', 'Width', 'Bitmap', 'erase', 'X', 'Metrics', 'Looper', 'Main', 'Attached', 'clip', 'set', 'To', 'Float', 'Executor', 'submit', 'Filter', 'Update', 'From', 'String', 'Dimension', 'Color', 'create', 'Attributes', 'Animated', 'get', 'Window', 'Layout', 'min', 'Round', 'save', 'Listener', 'draw', 'is', 'Touch', '<init>', 'Resources', 'Size', 'to', 'new', 'Interpolator', 'float', 'of', 'Detached', 'boolean', 'Rect', 'restore', 'Display', 'on', 'Delayed', 'Duration', 'Theme']"
Call Recorder,"['apply', 'Preferences', 'Action', 'Source', 'i', 'External', 'prepare', 'register', 'start', 'Temp', 'Simple', 'Path', 'add', 'Boolean', 'value', 'exists', 'Of', 'clear', 'Audio', 'Create', 'Empty', 'set', 'remove', 'Stack', 'On', 'release', 'Storage', 'append', 'Directory', 'String', 'Destroy', 'mkdirs', 'Encoder', 'Format', 'edit', 'create', 'delete', 'get', 'Name', 'Absolute', 'Listener', 'Service', 'is', 'equals', 'unregister', '<init>', 'Shared', 'Output', 'Message', 'to', 'Class', 'Extras', 'd', 'commit', 'Default', 'name', 'put', 'Error', 'Trace', 'print', 'contains', 'reset', 'stop', 'Receiver', 'on', 'Int', 'File']"
AndroidAudioConverter,"['value', 'Path', 'Of', 'exists', 'Read', 'get', 'split', 'Case', 'Lower', '<init>', 'replace', 'to', 'can']"
MidiDroid,"['Next', 'println', 'Time', 'Value', 'read', 'flush', 'start', 'Set', 'close', 'Simple', 'value', 'add', 'Of', 'sleep', 'clear', 'current', 'Millis', 'length', 'remove', 'last', 'To', 'Stack', 'Method', 'iterator', 'append', 'char', 'At', 'String', 'next', 'int', 'for', 'available', 'size', 'Bytes', 'pow', 'get', 'Name', 'equals', '<init>', 'invoke', 'to', 'has', 'Class', 'mark', 'put', 'Trace', 'key', 'print', 'compare', 'reset', 'write']"
AndroidAudioRecorder,"['red', 'parse', 'External', 'For', 'Activity', 'Home', 'String', 'Playing', 'Resource', 'Listener', 'is', '<init>', 'Trace', 'print', 'stop', 'reset', 'Resume', 'purge', 'Source', 'post', 'Visible', 'Selected', 'Value', 'Elevation', 'Visibility', 'value', 'Up', 'set', 'Stack', 'On', 'Show', 'Enabled', 'schedule', 'Rate', 'to', 'Item', 'Button', 'float', 'blue', 'Data', 'Display', 'on', 'View', 'Int', 'Icon', 'Destroy', 'Completion', 'sqrt', 'max', 'prepare', 'Menu', 'Drawable', 'replace', 'alpha', 'Extra', 'Of', 'add', 'As', 'Id', 'Storage', 'append', 'Directory', 'At', 'cancel', 'Options', 'Pause', 'get', 'Result', 'Background', 'Text', 'inflate', 'Fixed', 'State', 'Save', 'Title', 'find', 'start', 'green', 'Filter', 'Instance', 'Create', 'Color', 'argb', 'put', 'Serializable', 'Indicator', 'Image', 'Delayed']"
OmRecorder,"['Single', 'order', 'Time', 'post', 'Available', 'i', 'Thread', 'read', 'flush', 'start', 'close', 'Simple', 'Audio', 'current', 'Millis', 'log10', 'Looper', 'Main', 'length', 'Recording', 'set', 'Executor', 'submit', 'release', 'append', 'as', 'Id', 'String', 'Enabled', 'create', 'get', 'Name', 'is', 'Short', '<init>', 'Size', 'to', 'Class', 'new', 'Buffer', 'wrap', 'Min', 'stop', 'Session', 'seek', 'write']"
soundtransform,"['Next', 'abs', 'parse', 'update', 'Pool', 'Context', 'Loader', 'singleton', 'read', 'flush', 'Sample', 'close', 'Real', 'Code', 'double', 'Audio', 'format', 'Empty', 'Float', 'String', 'Index', 'play', 'Input', 'Resource', 'Listener', 'is', '<init>', 'Resources', 'Package', 'array', 'fill', 'new', 'arraycopy', 'In', 'Trace', 'reset', 'Lower', 'stop', 'File', 'starts', 'sin', 'Value', 'Thread', 'URL', 'Set', 'Parent', 'hash', 'value', 'Simple', 'shutdown', 'Array', 'open', 'exists', 'Order', 'length', 'set', 'Recording', 'Stack', 'Line', 'release', 'All', 'as', 'Raw', 'Channels', 'int', 'available', 'size', 'cos', 'Type', 'Property', 'Rate', 'ends', 'to', 'Stream', 'has', 'Class', 'interpolate', 'float', 'ceil', 'Key', 'round', 'Int', 'Imaginary', 'List', 'Position', 'sqrt', 'transform', 'max', 'notify', 'Of', 'add', 'sleep', 'current', 'log10', 'allocate', 'rewind', 'Playback', 'iterator', 'append', 'next', 'check', 'get', 'Point', 'Localized', 'Absolute', 'exp', 'equals', 'Size', 'Message', 'empty', 'mark', 'Encoding', 'Fixed', 'floor', 'Length', 'wait', 'Case', 'reverse', 'contains', 'Valid', 'Big', 'URI', 'write', 'Field', 'Frame', 'entry', 'State', 'sort', 'Declared', 'start', 'Head', 'Path', 'Instance', 'multiply', 'To', 'Termination', 'submit', 'Place', 'Format', 'With', 'await', 'Bytes', 'min', 'Name', 'pow', 'Supported', 'Endian', 'Buffer', 'put', 'Min', 'Byte', 'log']"
AudioPlayerView,"['Animation', 'Asset', 'Source', 'Completion', 'prepare', 'Async', 'recycle', 'Styled', 'start', 'obtain', 'Boolean', 'Audio', 'set', 'To', 'Stack', 'On', 'release', 'From', 'String', 'Playing', 'Assets', 'Type', 'create', 'get', 'Attributes', 'Listener', 'is', '<init>', 'Stream', 'Trace', 'print', 'Prepared', 'Data', 'pause', 'load', 'seek', 'Theme']"
Talk,"['Next', 'List', 'Recognition', 'Recognizer', 'start', 'Listening', 'destroy', 'Extra', 'add', 'Array', 'Empty', 'set', 'iterator', 'append', 'String', 'next', 'create', 'get', 'Listener', 'is', '<init>', 'to', 'has', 'd', 'Speech', 'put', 'Case', 'contains', 'Lower']"
opencore-amr-android,"['value', 'Of', 'Library', '<init>', 'load']"
RadioPlayerService,"['v', 'Intent', 'Next', 'State', 'Connection', 'Action', 'w', 'notify', 'URL', 'read', 'close', 'Content', 'hash', 'Broadcast', 'Of', 'Code', 'add', 'substring', 'Bitmap', 'open', 'value', 'Create', 'decode', 'Call', 'Empty', 'set', 'Uses', 'build', 'On', 'Activity', 'remove', 'Stack', 'Line', 'iterator', 'All', 'append', 'String', 'Handler', 'Destroy', 'next', 'Input', 'Pending', 'Small', 'cancel', 'Changed', 'Resource', 'get', 'Flags', 'Service', 'equals', 'is', '<init>', 'Text', 'Resources', 'listen', 'to', 'Chronometer', 'Package', 'has', 'Stream', 'Priority', 'd', 'index', 'Factory', 'Trace', 'print', 'contains', 'Image', 'View', 'on', 'Click', 'unbind', 'Icon', 'bind']"
Audio Wife,"['Next', 'Max', 'Source', 'Change', 'Completion', 'Position', 'Current', 'post', 'w', 'Minutes', 'prepare', 'find', 'Visibility', 'start', 'Simple', 'value', 'add', 'By', 'Of', 'Audio', 'format', 'To', 'set', 'Stack', 'On', 'release', 'iterator', 'Id', 'append', 'Playing', 'next', 'Bar', 'Progress', 'Type', 'get', 'Name', 'Listener', 'is', '<init>', 'Text', 'Click', 'to', 'Stream', 'Delayed', 'has', 'inflate', 'Seconds', 'Trace', 'print', 'stop', 'reset', 'Data', 'View', 'on', 'pause', 'seek', 'Duration', 'Seek']"
BlueFlow,"['Next', 'Proxy', 'Profile', 'parse', 'Parcel', 'Address', 'register', 'read', 'flush', 'Discovering', 'close', 'Code', 'For', 'format', 'Socket', 'Empty', 'Activity', 'String', 'enable', 'Input', 'is', '<init>', 'listen', 'Provider', 'arraycopy', 'Trace', 'print', 'Using', 'Record', 'Value', 'System', 'hash', 'value', 'Array', 'length', 'Stack', 'Method', 'Connected', 'All', 'From', 'Enabled', 'available', 'size', 'create', 'Long', 'Output', 'to', 'Stream', 'has', 'Class', 'connect', 'Int', 'Action', 'replace', 'Extra', 'Of', 'add', 'disable', 'clear', 'iterator', 'append', 'next', 'Hex', 'cancel', 'get', 'Result', 'Service', 'Adapter', 'Parcelable', 'Case', 'boolean', 'write', 'State', 'start', 'Scan', 'Upper', 'accept', 'Mode', 'To', 'copy', 'With', 'Bytes', 'pow', 'Insecure', 'Short', 'unregister', 'byte', 'Bonded', 'invoke', 'Discovery', 'Rfcomm', 'Default', 'put', 'Devices', 'Receiver']"
Thermal Printer Helper,"['Next', 'Preferences', 'Context', 'Bond', 'Address', 'register', 'flush', 'Discovering', 'close', 'Socket', 'Empty', 'Activity', 'Negative', 'from', 'Positive', 'String', 'edit', 'Layout', 'Resource', 'Listener', 'is', '<init>', 'Cancelable', 'dismiss', 'commit', 'finish', 'Trace', 'print', 'Resume', 'Record', 'Application', 'Tag', 'Items', 'Thread', 'Visibility', 'substring', 'value', 'Simple', 'Array', 'length', 'set', 'Stack', 'On', 'Method', 'All', 'Enabled', 'html', 'size', 'create', 'Encode', 'Output', 'Shared', 'to', 'Stream', 'has', 'Class', 'Remote', 'Button', 'hide', 'Item', 'run', 'Device', 'connect', 'View', 'on', 'Int', 'Destroy', 'Action', 'replace', 'Of', 'Extra', 'By', 'add', 'Choice', 'sleep', 'make', 'Ui', 'iterator', 'Id', 'append', 'next', 'check', 'cancel', 'Background', 'get', 'Result', 'Service', 'equals', 'Text', 'Message', 'Adapter', 'inflate', 'Parcelable', 'contains', 'Click', 'write', 'Single', 'State', 'Title', 'i', 'find', 'Self', 'start', 'Filter', 'Create', 'Permission', 'To', 'Inflater', 'Color', 'Bytes', 'Name', 'unregister', 'invoke', 'Discovery', 'Rfcomm', 'Default', 'index', 'put', 'show', 'Receiver']"
Bluetooth Scanning,"['Scaled', 'Next', 'Play', 'Loader', 'Address', 'Alias', 'register', 'read', 'Circle', 'recycle', 'Anti', 'Discovering', 'Stroke', 'Boolean', 'X', 'For', 'Empty', 'remove', 'Float', 'Activity', 'String', 'Style', 'play', 'Layout', 'Listener', 'is', '<init>', 'Canonical', 'Y', 'Count', 'compare', 'rgb', 'Current', 'sin', 'Tag', 'Value', 'Gravity', 'Child', 'hash', 'obtain', 'value', 'Array', 'set', 'On', 'All', 'as', 'From', 'Orientation', 'Enabled', 'int', 'schedule', 'size', 'create', 'cos', 'draw', 'end', 'to', 'has', 'Class', 'Key', 'View', 'on', 'Integer', 'Int', 'Theme', 'Action', 'List', 'Drawable', 'Extra', 'Of', 'add', 'Width', 'Bitmap', 'clear', 'iterator', 'append', 'next', 'cancel', 'Delay', 'Attributes', 'Background', 'get', 'Result', 'Animations', 'equals', 'Text', 'Size', 'Adapter', 'Parcelable', 'Interpolator', 'Detached', 'contains', 'Measure', 'Click', 'Repeat', 'write', 'Start', 'Time', 'Styled', 'start', 'Params', 'Mode', 'Color', 'min', 'Window', 'Name', 'Together', 'Discovery', 'Default', 'put', 'Serializable', 'of', 'Views', 'Image', 'Receiver', 'Duration']"
BluetoothHelper,"['Action', 'register', 'Self', 'Discovering', 'start', 'hash', 'Extra', 'Code', 'add', 'request', 'disable', 'Permission', 'enable', 'Enabled', 'check', 'cancel', 'Permissions', 'get', 'is', 'equals', 'unregister', '<init>', 'Adapter', 'Discovery', 'Parcelable', 'Default', 'Receiver', 'Int']"
Android Ble Library,"['Next', 'State', 'Connection', 'Change', 'Read', 'Properties', 'Bond', 'post', 'send', 'Discovered', 'Address', 'Value', 'Self', 'start', 'System', 'Gatt', 'Le', 'value', 'Of', 'add', 'Extra', 'Broadcast', 'Scan', 'request', 'clear', 'format', 'For', 'Permission', 'set', 'Activity', 'Notification', 'iterator', 'append', 'All', 'Characteristic', 'String', 'Descriptors', 'Enabled', 'next', 'check', 'Uuid', 'Changed', 'create', 'Permissions', 'get', 'Descriptor', 'disconnect', 'Name', 'Result', 'Write', 'Service', 'is', '<init>', 'to', 'Services', 'Adapter', 'has', 'Remote', 'd', 'Characteristics', 'discover', 'Device', 'connect', 'put', 'stop', 'on', 'Delayed', 'write']"
BluetoothKit,"['Record', 'Next', 'w', 'random', 'Address', 'close', 'Of', 'value', 'disable', 'Socket', 'To', 'from', 'Method', 'iterator', 'String', 'enable', 'next', 'Enabled', 'Input', 'copy', 'create', 'get', 'Name', 'Service', 'is', 'equals', 'Output', '<init>', 'Bonded', 'Adapter', 'Stream', 'invoke', 'has', 'Rfcomm', 'Class', 'Remote', 'UUID', 'Default', 'Device', 'connect', 'Devices']"
SimpleBle,"['post', 'Feature', 'i', 'Address', 'Value', 'Thread', 'read', 'Self', 'start', 'close', 'System', 'Le', 'add', 'Scan', 'Permission', 'Ui', 'set', 'On', 'Manager', 'from', 'append', 'Characteristic', 'String', 'enable', 'Enabled', 'check', 'size', 'get', 'Name', 'Service', 'equals', 'Write', 'is', '<init>', 'to', 'Package', 'Services', 'Adapter', 'has', 'Provider', 'run', 'discover', 'connect', 'on', 'stop', 'Gatt', 'Delayed', 'write']"
